이름,Items,Slug,색상,설명,ID,무게,객체 유형,생성일,최종 업데이트
1u,5,1u,#9e9e9e,,26,1000,,2025-12-09T05:04:06.841942+00:00,2025-12-09T05:04:06.841958+00:00
2u,3,2u,#9e9e9e,,27,1000,,2025-12-09T05:04:20.464685+00:00,2025-12-09T05:04:20.464703+00:00
access,1,access,#9e9e9e,,12,1000,,2025-12-09T04:27:48.609304+00:00,2025-12-09T04:27:48.609320+00:00
ad,1,ad,#9e9e9e,,21,1000,,2025-12-09T04:31:25.366851+00:00,2025-12-09T04:31:25.366869+00:00
app,1,app,#9e9e9e,,16,1000,,2025-12-09T04:29:37.145946+00:00,2025-12-09T04:29:37.145962+00:00
application,1,application,#9e9e9e,,35,1000,,2025-12-10T12:09:41.530765+00:00,2025-12-10T12:09:41.530779+00:00
core,2,core,#9e9e9e,,10,1000,,2025-12-09T04:26:05.487562+00:00,2025-12-09T04:26:05.487583+00:00
custom,1,custom,#9e9e9e,,6,1000,,2025-12-09T02:58:11.696490+00:00,2025-12-09T02:58:11.696526+00:00
database,2,database,#9e9e9e,,17,1000,,2025-12-09T04:30:04.715288+00:00,2025-12-09T04:30:04.715307+00:00
datacenter,15,datacenter,#9e9e9e,,4,1000,,2025-12-09T02:57:41.783405+00:00,2025-12-09T02:57:41.783436+00:00
dev,1,dev,#9e9e9e,,36,1000,,2025-12-10T12:11:14.027451+00:00,2025-12-10T12:11:14.027463+00:00
distribution,1,distribution,#9e9e9e,,11,1000,,2025-12-09T04:27:14.968535+00:00,2025-12-09T04:27:14.968544+00:00
dns,1,dns,#9e9e9e,,20,1000,,2025-12-09T04:31:10.836268+00:00,2025-12-09T04:31:10.836288+00:00
enterprise,5,enterprise,#9e9e9e,,2,1000,,2025-12-09T02:56:16.740642+00:00,2025-12-09T02:56:16.740669+00:00
firewall,2,firewall,#9e9e9e,,13,1000,,2025-12-09T04:28:20.094588+00:00,2025-12-09T04:28:20.094610+00:00
high-performance,1,high-performance,#9e9e9e,,7,1000,,2025-12-09T02:58:28.148479+00:00,2025-12-09T02:58:28.148499+00:00
hpc,1,hpc,#9e9e9e,,28,1000,,2025-12-09T05:04:38.430725+00:00,2025-12-09T05:04:38.430747+00:00
hq,1,hq,#9e9e9e,,9,1000,,2025-12-09T04:10:12.681517+00:00,2025-12-09T04:10:12.681530+00:00
infrastructure,3,infrastructure,#9e9e9e,,33,1000,,2025-12-09T05:49:10.928101+00:00,2025-12-09T05:49:10.928108+00:00
lab,3,lab,#9e9e9e,,31,1000,,2025-12-09T05:48:33.311867+00:00,2025-12-09T05:48:33.311893+00:00
lb,1,lb,#9e9e9e,,14,1000,,2025-12-09T04:28:49.814749+00:00,2025-12-09T04:28:49.814777+00:00
long-term,1,long-term,#9e9e9e,,41,1000,,2025-12-10T12:13:15.309554+00:00,2025-12-10T12:13:15.309580+00:00
longterm,1,longterm,#9e9e9e,,32,1000,,2025-12-09T05:48:52.143495+00:00,2025-12-09T05:48:52.143523+00:00
mail,2,mail,#9e9e9e,,19,1000,,2025-12-09T04:30:55.848332+00:00,2025-12-09T04:30:55.848352+00:00
mid-term,1,mid-term,#9e9e9e,,40,1000,,2025-12-10T12:13:03.463505+00:00,2025-12-10T12:13:03.463536+00:00
monitoring,2,monitoring,#9e9e9e,,22,1000,,2025-12-09T04:31:36.738487+00:00,2025-12-09T04:31:36.738509+00:00
network,11,network,#9e9e9e,,3,1000,,2025-12-09T02:56:44.629491+00:00,2025-12-09T02:56:44.629518+00:00
power,1,power,#9e9e9e,,34,1000,,2025-12-09T05:49:26.068481+00:00,2025-12-09T05:49:26.068496+00:00
product,4,product,#9e9e9e,,23,1000,,2025-12-09T04:31:53.803009+00:00,2025-12-09T04:31:53.803033+00:00
production,2,production,#9e9e9e,,8,1000,,2025-12-09T04:09:55.248232+00:00,2025-12-09T04:09:55.248248+00:00
security,8,security,#9e9e9e,,5,1000,,2025-12-09T02:57:57.905497+00:00,2025-12-09T02:57:57.905521+00:00
server,19,server,#9e9e9e,,1,1000,,2025-12-09T02:55:45.866150+00:00,2025-12-09T02:55:45.866176+00:00
short-term,1,short-term,#9e9e9e,,39,1000,,2025-12-10T12:12:48.057573+00:00,2025-12-10T12:12:48.057601+00:00
smb,1,smb,#9e9e9e,,30,1000,,2025-12-09T05:06:03.018430+00:00,2025-12-09T05:06:03.018447+00:00
spare,1,spare,#9e9e9e,,38,1000,,2025-12-10T12:12:29.503593+00:00,2025-12-10T12:12:29.503622+00:00
storage,3,storage,#9e9e9e,,18,1000,,2025-12-09T04:30:31.771877+00:00,2025-12-09T04:30:31.771893+00:00
switch,2,switch,#9e9e9e,,29,1000,,2025-12-09T05:05:10.133287+00:00,2025-12-09T05:05:10.133304+00:00
temporary,1,temporary,#9e9e9e,,25,1000,,2025-12-09T04:32:48.169918+00:00,2025-12-09T04:32:48.169934+00:00
test,7,test,#9e9e9e,,24,1000,,2025-12-09T04:32:26.703811+00:00,2025-12-09T04:32:26.703826+00:00
virtualization,1,virtualization,#9e9e9e,,37,1000,,2025-12-10T12:11:56.635083+00:00,2025-12-10T12:11:56.635105+00:00
web,2,web,#9e9e9e,,15,1000,,2025-12-09T04:29:12.012674+00:00,2025-12-09T04:29:12.012691+00:00
